"ID_UNIDADE_OPERACIONAL","NM_UNIDADE_OPERACIONAL","ID_ENTIDADE","DS_COMPLEMENTO","CD_OPERACIONAL","ID_UNIDADE_OPERACIONAL_PAI","FL_CRIACAO_BO","FL_CRIACAO_BOF","FL_CRIACAO_BOI","FL_CRIACAO_IP","FL_TREINAMENTO","ID_PONTO_REFERENCIA"
4338,POLICIA MILITAR DO ESTADO DO DISTRITO FEDERAL,36,,PMDF,,N,N,N,N,N,
4339,POLICIA MILITAR DO ESTADO DO ESPÍRITO SANTO,38,,PMES,,N,N,N,N,N,
4357,"1ª PROMOTORIA DE JUSTIÇA CRIMINAL DA CAPITAL",21,,"1ª PROMOTORIA DE JUSTIÇA CRIMINAL DA CAPITAL",,N,N,N,N,N,
4358,DIVISÃO DE INVESTIGAÇÃO E APURAÇÃO DO TJPE,77,,DIVISÃO DE INVESTIGAÇÃO E APURAÇÃO DO TJPE,,S,S,N,N,S,
4371,DPMUL - 15ª DELEGACIA DE POLÍCIA DA MULHER - 15ª DEAM OLINDA,1,,"15ª DEAM",4112,S,S,N,N,N,
4372,DPMUL - 16ª DELEGACIA DE POLÍCIA DA MULHER - 16ª DEAM PALMARES,1,,"16ª DEAM",4112,S,S,N,N,N,
4374,FORÇA TAREFA DE SEGURANÇA PÚBLICA DE PERNAMBUCO -  FTSP-PE,1,, FTSP-PE,4122,S,N,N,N,N,
4375,DELEGACIA DE REPRESSAO A INTOLERANCIA ESPORTIVA - DPRIE (UNIDADE MOVEL - ARENA),1,,DPRIE - UNIDADE MOVEL - ARENA,2173,S,N,N,N,N,
4369,POLÍCIA FERROVIÁRIA FEDERAL,18,,POLÍCIA FERROVIÁRIA FEDERAL,,S,N,N,N,N,
4389,"28º. BPM - 28º BATALHÃO DE POLÍCIA MILITAR",2,,"28º. BPM",4119,N,S,N,N,N,
4390,"29º. BPM - 29º BATALHÃO DE POLÍCIA MILITAR",2,,"29º. BPM",4119,N,S,N,N,N,
4154,DENARC - 4ª DELEGACIA DE POLICIA DE REPRESSÃO AO NARCOTRÁFICO - 4ªDPRN,1,,"4ªDPRN",4122,S,N,N,N,N,
4181,"2ª PROMOTORIA DE JUSTIÇA CRIMINAL DE CARUARU",21,,,,N,N,N,N,N,
4187,UOP PRF - CRUZEIRO DO NORDESTE,15,,UOPPRF,,N,N,N,N,N,
4343,POLICIA MILITAR DO ESTADO DO MATO GROSSO DO SUL,46,,PMMS,,N,N,N,N,N,
4344,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,48,,PMMG,,N,N,N,N,N,
4345,POLICIA MILITAR DO ESTADO DO PARA,50,,PMPA,,N,N,N,N,N,
4346,POLICIA MILITAR DO ESTADO DA PARAIBA,52,,PMPB,,N,N,N,N,N,
4347,POLICIA MILITAR DO ESTADO DO PARANA,54,,PMPR,,N,N,N,N,N,
4348,POLICIA MILITAR DO ESTADO DO  PIAUI,56,,PMPI,,N,N,N,N,N,
4349,POLICIA MILITAR DO ESTADO DO RIO DE JANEIRO,58,,PMRJ,,N,N,N,N,N,
4350,POLICIA MILITAR DO ESTADO DO RIO GRANDE DO NORTE,60,,PMRN,,N,N,N,N,N,
4351,POLICIA MILITAR DO ESTADO DO RIO GRANDE DO SUL,62,,PMRS,,N,N,N,N,N,
4352,POLICIA MILITAR DO ESTADO DE RORAIMA,66,,PMRR,,N,N,N,N,N,
4353,POLICIA MILITAR DO ESTADO DE SANTA CATARINA,68,,PMSC,,N,N,N,N,N,
4354,POLICIA MILITAR DO ESTADO DE SÃO PAULO,70,,PMSP,,N,N,N,N,N,
4355,POLICIA MILITAR DO ESTADO DE SERGIPE,72,,PMSE,,N,N,N,N,N,
4356,POLICIA MILITAR DO ESTADO DE TOCANTINS,74,,PMTO,,N,N,N,N,N,
4360,DIVISÃO DE INVESTIGAÇÃO E APURAÇÃO DO TJPE,1,,DIVISÃO DE INVESTIGAÇÃO E APURAÇÃO DO TJPE,,S,S,N,N,N,
4380,DPCA - DELEGACIA DE POLÍCIA DE ATOS INFRACIONAIS - PLANTÃO,1,,DPAI - PLANTÃO,2099,S,N,N,N,N,
4383,FORÇA TAREFA BANCO CAPITAL - FTBC-PE,1,,FTBC-PE,4122,S,N,N,N,N,
4384,FORÇA TAREFA BANCO AGRESTE - FTBA-PE,1,,FTBA-PE,4122,S,N,N,N,N,
4385,FORÇA TAREFA BANCO SERTÃO 01 - FTBS01-PE,1,,FTBS01-PE,4122,S,N,N,N,N,
4386,FORÇA TAREFA BANCO SERTÃO 02 - FTBS02-PE,1,,FTBS02-PE,4122,S,N,N,N,N,
4163,IML PALMARES,7,,IML PALMARES,,N,N,N,N,N,
4167,LEI SECA,4,,LEI SECA,,S,S,N,N,N,
4169,"9ª. CIPM - 9º COMPANHIA INDEPENDENTE POLICIAL MILITAR",2,,"9ª CIPM",4120,N,N,N,N,N,
4183,Gerência Geral de Polícia Científica,23,,GGPOC,4122,N,N,N,N,N,
4185,UOP PRF - AGUA PRETA,15,,UOPPRF,,N,N,N,N,N,
4186,UOP PRF - SÃO CAETANO,15,,UOPPRF,,N,N,N,N,N,
4189,UOP PRF - TREVO DE IBO,15,,UOPPRF,,N,N,N,N,N,
4199,CENIP RECIFE,76,,CENIP RECIFE,,N,N,N,N,N,
4200,CENIP SANTA LUZIA,76,,CENIP SANTA LUZIA,,N,N,N,N,N,
4201,CENIP CARUARU,76,,CENIP CARUARU,,N,N,N,N,N,
4202,CENIP PETROLINA,76,,CENIP PETROLINA,,N,N,N,N,N,
4203,CASE CABO DE SANTO AGOSTINHO,76,,CASE CABO DE SANTO AGOSTINHO,,N,N,N,N,N,
4221,CENTRO DE OBS CRIMINOLÓGICA E TRIAGEM PROF EVERARDO LUNA - COTEL,16,,COTEL,,N,N,N,N,N,
4222,CENTRO DE RESSOCIALIZAÇÃO DO AGRESTE - CRA,16,,CRA,,N,N,N,N,N,
4223,COLÔNIA PENAL FEMININA DE ABREU E LIMA - CPFAL,16,,CPFAL,,N,N,N,N,N,
4224,COLÔNIA PENAL FEMININA DE BUÍQUE - CPFB,16,,CPFB,,N,N,N,N,N,
4232,PENITENCIARIA PROFESSOR BARRETO CAMPELO - PPBC,16,,PPBC ,,N,N,N,N,N,
4233,PRESÍDIO ADVOGADO BRITO ALVES - PABA,16,,PABA,,N,N,N,N,N,
4234,PRESÍDIO ASP MARCELO FRANCISCO ARAÚJO - PAMFA,16,,PAMFA,,N,N,N,N,N,
4235,PRESÍDIO DE IGARASSU - PI,16,,PI,,N,N,N,N,N,
